,TotalSleepBlock,~F1,Accuracy,AccuracyBlock,Precision,TotalSleep,Recall,SEGTBlock,SESelfBlock,SEInterval,F1,SEMarkers,SEOnlyREST,F1Block,PercentSleep,RecallBlock,SEWholeDF,Specificity,~F1Block,PrecisionBlock,SESelfBlock5Min,PercentSleepBlock,SpecificityBlock,DeltaEndBlock,DeltaStartBlock
resc_tl_sadeh_max,657.9  +- 7852.5 ,57.3  +- 14.0 ,41.8  +- 13.2 ,25.6  +- 14.7 ,0.4  +- 5.1 ,711.8  +- 8562.7 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.8  +- 9.1 ,0.6  +- 7.5 ,0.5  +- 6.1 ,0.6  +- 7.5 ,0.6  +- 7.5 ,0.5  +- 7.0 ,0.6  +- 7.5 ,0.5  +- 7.0 ,0.6  +- 7.5 ,98.8  +- 10.6 ,38.4  +- 17.7 ,0.5  +- 7.1 ,0.8  +- 8.9 ,0.6  +- 6.8 ,99.6  +- 5.8 ,5681 +- 5065,4051 +- 3341
oakley,92570.5  +- 19095.0 ,68.2  +- 15.0 ,77.5  +- 9.0 ,87.1  +- 12.3 ,76.8  +- 12.7 ,81145.5  +- 14307.5 ,87.2  +- 9.2 ,79.8  +- 10.7 ,79.8  +- 9.7 ,80.5  +- 8.7 ,81.0  +- 9.7 ,75.8  +- 12.2 ,82.9  +- 7.4 ,90.4  +- 12.9 ,66.0  +- 11.1 ,91.9  +- 14.1 ,66.1  +- 11.1 ,63.0  +- 16.9 ,71.0  +- 24.8 ,90.5  +- 14.4 ,96.1  +- 4.9 ,75.2  +- 13.7 ,78.2  +- 24.4 ,2777 +- 3748,2118 +- 3113
tl_oakley,82180.2  +- 35940.4 ,58.9  +- 21.4 ,76.3  +- 11.0 ,78.2  +- 24.2 ,72.3  +- 13.2 ,95366.4  +- 16554.8 ,95.8  +- 7.6 ,92.7  +- 10.1 ,96.4  +- 6.9 ,93.7  +- 7.8 ,81.7  +- 10.4 ,88.8  +- 12.3 ,95.1  +- 5.9 ,77.9  +- 32.4 ,77.6  +- 12.6 ,79.7  +- 34.3 ,77.7  +- 12.6 ,47.1  +- 21.5 ,63.6  +- 27.5 ,80.0  +- 30.7 ,90.5  +- 17.9 ,67.0  +- 28.8 ,73.5  +- 27.0 ,6752 +- 10242,2579 +- 3014
resc_oakley,65863.6  +- 32189.9 ,73.9  +- 13.7 ,77.8  +- 9.9 ,74.7  +- 24.6 ,85.5  +- 12.2 ,62157.3  +- 17500.5 ,73.8  +- 15.3 ,64.9  +- 16.6 ,77.2  +- 13.8 ,64.7  +- 14.2 ,78.0  +- 12.6 ,60.5  +- 16.9 ,67.2  +- 13.2 ,74.7  +- 30.1 ,50.7  +- 14.2 ,69.5  +- 32.7 ,50.7  +- 14.2 ,81.6  +- 15.7 ,65.8  +- 26.9 ,93.9  +- 17.8 ,98.7  +- 5.5 ,53.8  +- 26.1 ,93.2  +- 15.6 ,6745 +- 8896,2850 +- 3430
resc_tl_oakley,75860.6  +- 34210.5 ,66.7  +- 19.3 ,78.7  +- 10.4 ,77.8  +- 24.9 ,76.1  +- 13.2 ,86862.3  +- 18170.9 ,91.8  +- 10.8 ,87.2  +- 13.6 ,94.8  +- 10.4 ,87.9  +- 11.4 ,82.4  +- 10.8 ,83.0  +- 15.4 ,89.7  +- 9.8 ,77.9  +- 30.9 ,70.7  +- 14.2 ,76.7  +- 33.3 ,70.8  +- 14.2 ,58.3  +- 21.4 ,66.4  +- 27.4 ,87.7  +- 24.4 ,97.2  +- 5.7 ,61.9  +- 27.4 ,83.0  +- 23.9 ,6474 +- 9806,2285 +- 2590
tl_resc_oakley,82707.7  +- 35898.2 ,53.7  +- 22.1 ,74.0  +- 11.1 ,77.6  +- 24.2 ,70.3  +- 13.2 ,97684.3  +- 16331.4 ,95.5  +- 7.4 ,93.2  +- 9.5 ,97.3  +- 5.5 ,94.1  +- 7.1 ,80.2  +- 10.5 ,89.8  +- 11.4 ,95.0  +- 5.6 ,77.5  +- 32.4 ,79.5  +- 12.3 ,79.5  +- 34.4 ,79.5  +- 12.3 ,42.0  +- 21.3 ,62.2  +- 26.7 ,78.9  +- 31.1 ,87.9  +- 21.0 ,67.4  +- 28.6 ,71.9  +- 26.7 ,6920 +- 10252,2638 +- 2942
oakley_max,151.8  +- 2892.0 ,57.6  +- 13.4 ,41.7  +- 13.2 ,25.3  +- 14.0 ,0.3  +- 4.9 ,151.8  +- 2892.0 ,0.2  +- 3.1 ,0.1  +- 2.8 ,0.3  +- 5.3 ,0.1  +- 2.8 ,0.2  +- 3.8 ,0.1  +- 2.6 ,0.1  +- 2.8 ,0.2  +- 3.7 ,0.1  +- 2.4 ,0.1  +- 2.8 ,0.1  +- 2.4 ,99.4  +- 7.4 ,38.4  +- 17.6 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.1  +- 2.4 ,100.0  +- 0.0 ,5682 +- 5019,4044 +- 3346
tl_oakley_max,596.7  +- 7613.0 ,57.3  +- 13.9 ,41.8  +- 13.3 ,25.7  +- 14.7 ,0.4  +- 5.2 ,650.7  +- 8336.6 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.8  +- 9.1 ,0.5  +- 7.3 ,0.5  +- 6.1 ,0.6  +- 7.3 ,0.5  +- 7.3 ,0.5  +- 7.1 ,0.6  +- 7.3 ,0.5  +- 7.0 ,0.6  +- 7.3 ,98.9  +- 10.3 ,38.5  +- 17.8 ,0.5  +- 7.2 ,0.8  +- 8.7 ,0.5  +- 6.7 ,99.7  +- 5.3 ,5698 +- 5127,4049 +- 3343
resc_tl_oakley_max,585.7  +- 7515.0 ,57.3  +- 13.9 ,41.8  +- 13.3 ,25.6  +- 14.7 ,0.4  +- 5.2 ,639.7  +- 8239.4 ,0.5  +- 7.3 ,0.5  +- 7.3 ,0.8  +- 9.1 ,0.5  +- 7.2 ,0.4  +- 6.0 ,0.6  +- 7.2 ,0.5  +- 7.2 ,0.5  +- 7.0 ,0.6  +- 7.2 ,0.5  +- 6.9 ,0.6  +- 7.2 ,98.9  +- 10.2 ,38.5  +- 17.8 ,0.5  +- 7.2 ,0.8  +- 9.0 ,0.5  +- 6.6 ,99.7  +- 5.2 ,5699 +- 5133,4051 +- 3341
kripke,100937.5  +- 19036.3 ,61.2  +- 17.7 ,76.6  +- 10.3 ,85.0  +- 12.9 ,72.5  +- 13.1 ,94781.0  +- 13815.5 ,95.9  +- 5.0 ,90.4  +- 7.5 ,87.9  +- 7.8 ,90.5  +- 6.1 ,81.8  +- 9.8 ,86.5  +- 9.8 ,92.4  +- 4.6 ,89.3  +- 13.4 ,77.1  +- 9.9 ,94.9  +- 12.9 ,77.1  +- 9.9 ,48.8  +- 18.3 ,61.1  +- 28.5 ,85.7  +- 16.3 ,94.3  +- 7.0 ,81.8  +- 12.8 ,60.3  +- 30.2 ,2965 +- 4026,2754 +- 3022
tl_kripke,97628.4  +- 28724.3 ,48.8  +- 21.1 ,72.7  +- 11.3 ,80.8  +- 18.5 ,68.4  +- 13.2 ,103319.3  +- 14601.9 ,98.4  +- 3.2 ,96.3  +- 6.0 ,95.6  +- 5.4 ,96.3  +- 5.0 ,80.0  +- 10.1 ,93.0  +- 8.9 ,97.4  +- 3.2 ,83.9  +- 23.9 ,83.9  +- 9.8 ,89.9  +- 25.1 ,84.0  +- 9.9 ,35.6  +- 19.3 ,55.8  +- 28.3 ,80.3  +- 23.7 ,90.6  +- 15.3 ,79.2  +- 21.9 ,55.2  +- 30.0 ,4531 +- 7605,3315 +- 3217
resc_kripke,73791.5  +- 34885.0 ,72.8  +- 15.3 ,80.1  +- 9.5 ,76.6  +- 25.9 ,80.7  +- 12.8 ,76768.6  +- 16290.0 ,86.3  +- 10.6 ,78.2  +- 13.6 ,86.0  +- 11.5 ,77.7  +- 11.4 ,82.6  +- 9.9 ,73.3  +- 14.5 ,80.0  +- 10.2 ,76.2  +- 32.9 ,62.5  +- 13.0 ,74.8  +- 34.7 ,62.6  +- 13.1 ,70.4  +- 18.7 ,65.9  +- 28.0 ,86.2  +- 27.6 ,97.6  +- 5.3 ,60.2  +- 27.9 ,85.1  +- 22.4 ,6891 +- 10214,2386 +- 2669
resc_tl_kripke,86026.7  +- 32553.1 ,61.9  +- 19.7 ,77.2  +- 10.4 ,80.1  +- 22.0 ,73.3  +- 13.2 ,93519.0  +- 15675.4 ,95.5  +- 6.2 ,91.5  +- 9.7 ,94.5  +- 7.5 ,91.3  +- 8.9 ,82.2  +- 9.8 ,87.3  +- 12.3 ,93.0  +- 7.0 ,81.3  +- 28.4 ,76.0  +- 11.6 ,83.2  +- 30.3 ,76.1  +- 11.6 ,50.4  +- 20.6 ,64.1  +- 27.1 ,82.9  +- 27.0 ,95.0  +- 9.6 ,69.9  +- 25.4 ,72.6  +- 27.7 ,5350 +- 8852,2716 +- 2775
tl_resc_kripke,97616.0  +- 28982.6 ,42.6  +- 21.5 ,70.5  +- 11.6 ,79.8  +- 18.8 ,66.7  +- 13.2 ,106192.8  +- 14596.0 ,98.5  +- 3.0 ,97.1  +- 5.2 ,97.2  +- 4.1 ,97.1  +- 4.3 ,78.7  +- 10.3 ,94.4  +- 8.0 ,97.8  +- 2.8 ,83.2  +- 24.1 ,86.2  +- 9.5 ,89.4  +- 25.5 ,86.3  +- 9.5 ,30.1  +- 18.8 ,54.5  +- 27.1 ,79.6  +- 23.9 ,88.8  +- 17.3 ,79.3  +- 22.0 ,54.2  +- 29.0 ,4907 +- 7761,3280 +- 3149
kripke_max,230.3  +- 4387.9 ,57.6  +- 13.4 ,41.7  +- 13.2 ,25.2  +- 14.0 ,0.2  +- 3.1 ,230.3  +- 4387.9 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.3 ,0.2  +- 4.0 ,0.2  +- 3.9 ,0.2  +- 4.4 ,0.2  +- 4.3 ,0.2  +- 4.0 ,0.1  +- 2.8 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.4  +- 7.6 ,38.3  +- 17.6 ,0.2  +- 3.2 ,0.3  +- 5.2 ,0.1  +- 2.8 ,99.9  +- 1.6 ,5606 +- 4897,4037 +- 3343
tl_kripke_max,614.3  +- 8416.5 ,57.5  +- 13.4 ,41.9  +- 13.3 ,25.5  +- 14.4 ,0.4  +- 5.5 ,641.3  +- 8714.8 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.5  +- 7.4 ,0.5  +- 6.2 ,0.5  +- 7.3 ,0.5  +- 7.4 ,0.5  +- 6.3 ,0.5  +- 6.9 ,0.5  +- 7.1 ,0.5  +- 6.9 ,99.1  +- 9.1 ,38.4  +- 17.6 ,0.4  +- 6.0 ,0.5  +- 7.1 ,0.5  +- 6.5 ,99.7  +- 4.5 ,5649 +- 4993,4046 +- 3344
resc_tl_kripke_max,603.3  +- 8276.8 ,57.6  +- 13.4 ,41.9  +- 13.4 ,25.5  +- 14.5 ,0.4  +- 5.6 ,630.3  +- 8572.4 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.5  +- 7.3 ,0.5  +- 6.3 ,0.5  +- 7.3 ,0.5  +- 7.3 ,0.5  +- 6.4 ,0.5  +- 6.7 ,0.5  +- 7.1 ,0.5  +- 6.7 ,99.1  +- 8.8 ,38.4  +- 17.6 ,0.4  +- 6.2 ,0.5  +- 7.1 ,0.5  +- 6.4 ,99.8  +- 4.2 ,5647 +- 4993,4044 +- 3346
webster,106301.1  +- 16254.9 ,52.1  +- 18.5 ,73.3  +- 11.2 ,83.2  +- 11.8 ,69.0  +- 13.3 ,102160.3  +- 13476.7 ,98.2  +- 3.1 ,94.4  +- 5.4 ,90.9  +- 6.0 ,94.4  +- 4.4 ,80.3  +- 10.2 ,91.2  +- 7.9 ,95.8  +- 3.0 ,88.9  +- 9.7 ,83.0  +- 8.6 ,96.6  +- 7.2 ,83.0  +- 8.6 ,38.2  +- 17.3 ,52.9  +- 28.2 ,83.7  +- 14.0 ,92.6  +- 7.3 ,86.1  +- 8.9 ,48.9  +- 30.1 ,3091 +- 3207,3273 +- 3191
tl_webster,104416.5  +- 21685.6 ,37.5  +- 21.7 ,68.9  +- 12.3 ,81.6  +- 14.3 ,65.4  +- 13.4 ,109479.9  +- 14255.6 ,99.5  +- 1.7 ,98.4  +- 3.6 ,97.3  +- 3.6 ,98.4  +- 2.9 ,78.1  +- 10.6 ,96.1  +- 6.5 ,99.0  +- 1.5 ,86.6  +- 16.7 ,88.9  +- 8.5 ,94.4  +- 16.6 ,88.9  +- 8.5 ,25.6  +- 18.0 ,50.9  +- 27.7 ,81.2  +- 18.4 ,90.4  +- 13.5 ,84.7  +- 15.3 ,46.7  +- 29.0 ,3505 +- 5364,3675 +- 3269
resc_webster,89854.0  +- 26770.5 ,67.7  +- 17.1 ,79.0  +- 10.0 ,83.6  +- 18.9 ,76.2  +- 13.4 ,87714.6  +- 15122.0 ,93.1  +- 6.6 ,86.8  +- 10.1 ,88.4  +- 9.2 ,85.9  +- 8.9 ,83.0  +- 9.6 ,81.9  +- 11.9 ,87.8  +- 7.4 ,86.1  +- 22.4 ,71.3  +- 11.3 ,88.2  +- 23.9 ,71.4  +- 11.3 ,58.9  +- 19.8 ,67.0  +- 27.2 ,87.1  +- 20.8 ,96.2  +- 5.3 ,73.0  +- 20.6 ,74.0  +- 27.5 ,3945 +- 7310,2492 +- 2710
resc_tl_webster,95922.3  +- 27165.3 ,51.0  +- 22.1 ,73.4  +- 11.8 ,81.6  +- 18.1 ,69.3  +- 13.7 ,102007.4  +- 15078.1 ,98.2  +- 3.3 ,96.1  +- 6.1 ,96.6  +- 5.3 ,95.8  +- 5.5 ,80.4  +- 10.3 ,92.8  +- 9.1 ,96.8  +- 3.9 ,84.9  +- 22.5 ,82.9  +- 10.3 ,89.9  +- 23.6 ,82.9  +- 10.3 ,38.3  +- 20.8 ,59.3  +- 27.8 ,82.3  +- 22.8 ,93.0  +- 11.5 ,77.9  +- 20.4 ,61.1  +- 30.4 ,4216 +- 7222,3122 +- 2994
tl_resc_webster,104951.0  +- 21656.3 ,31.9  +- 21.4 ,67.1  +- 12.4 ,81.0  +- 14.2 ,64.1  +- 13.3 ,111622.9  +- 14198.5 ,99.4  +- 1.7 ,98.8  +- 3.1 ,98.0  +- 3.3 ,98.7  +- 2.5 ,77.1  +- 10.6 ,96.8  +- 5.8 ,99.0  +- 1.5 ,86.3  +- 16.6 ,90.6  +- 8.0 ,94.3  +- 16.6 ,90.7  +- 8.0 ,21.3  +- 17.1 ,49.6  +- 26.3 ,80.7  +- 18.4 ,89.6  +- 13.6 ,85.1  +- 15.0 ,45.1  +- 27.9 ,3808 +- 5497,3625 +- 3223
webster_max,295.0  +- 5621.3 ,57.6  +- 13.4 ,41.7  +- 13.2 ,25.4  +- 14.2 ,0.2  +- 3.6 ,319.0  +- 6077.9 ,0.2  +- 4.4 ,0.2  +- 4.3 ,0.3  +- 5.3 ,0.2  +- 4.6 ,0.2  +- 4.0 ,0.3  +- 5.2 ,0.3  +- 5.1 ,0.2  +- 4.5 ,0.2  +- 3.6 ,0.2  +- 4.0 ,0.2  +- 3.6 ,99.3  +- 7.9 ,38.4  +- 17.6 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 3.3 ,100.0  +- 0.0 ,5655 +- 4998,4051 +- 3339
tl_webster_max,666.1  +- 7921.1 ,57.2  +- 14.1 ,41.8  +- 13.2 ,25.6  +- 14.6 ,0.4  +- 5.1 ,723.4  +- 8629.7 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.8  +- 9.1 ,0.6  +- 7.5 ,0.5  +- 6.0 ,0.6  +- 7.5 ,0.6  +- 7.5 ,0.5  +- 7.0 ,0.6  +- 7.5 ,0.5  +- 7.0 ,0.6  +- 7.5 ,98.8  +- 10.7 ,38.4  +- 17.7 ,0.6  +- 7.1 ,0.8  +- 8.7 ,0.6  +- 6.9 ,99.5  +- 5.9 ,5680 +- 5060,4052 +- 3340
resc_tl_webster_max,658.4  +- 7857.4 ,57.3  +- 14.0 ,41.8  +- 13.2 ,25.6  +- 14.7 ,0.4  +- 5.1 ,712.4  +- 8567.6 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.8  +- 9.1 ,0.6  +- 7.5 ,0.5  +- 6.1 ,0.6  +- 7.5 ,0.6  +- 7.5 ,0.5  +- 7.0 ,0.6  +- 7.5 ,0.5  +- 7.0 ,0.6  +- 7.5 ,98.8  +- 10.6 ,38.4  +- 17.7 ,0.5  +- 7.1 ,0.8  +- 8.9 ,0.6  +- 6.8 ,99.6  +- 5.8 ,5681 +- 5065,4051 +- 3341
ExtraTrees,81071.3  +- 31624.3 ,73.9  +- 16.3 ,81.8  +- 10.0 ,81.6  +- 22.6 ,80.3  +- 12.4 ,80720.9  +- 16748.1 ,90.4  +- 11.4 ,81.9  +- 14.3 ,85.5  +- 12.7 ,82.8  +- 11.4 ,84.3  +- 10.5 ,77.2  +- 15.6 ,85.8  +- 9.6 ,81.8  +- 28.8 ,65.8  +- 13.5 ,81.6  +- 30.8 ,65.8  +- 13.5 ,68.1  +- 18.7 ,69.3  +- 27.2 ,88.0  +- 23.9 ,97.4  +- 4.4 ,66.2  +- 25.4 ,82.6  +- 23.0 ,5183 +- 8755,2190 +- 2780
tl_ExtraTrees,75024.0  +- 39609.2 ,66.8  +- 17.7 ,78.6  +- 9.8 ,74.9  +- 27.4 ,75.7  +- 12.2 ,87275.5  +- 16741.2 ,92.2  +- 10.2 ,86.7  +- 13.2 ,91.1  +- 12.3 ,88.0  +- 10.2 ,82.5  +- 10.1 ,82.5  +- 14.8 ,90.3  +- 8.2 ,72.6  +- 37.0 ,71.1  +- 13.3 ,73.2  +- 38.9 ,71.1  +- 13.4 ,57.4  +- 19.2 ,63.8  +- 27.5 ,77.5  +- 34.9 ,92.0  +- 17.3 ,61.1  +- 31.9 ,78.4  +- 24.7 ,8358 +- 11596,2643 +- 3109
resc_ExtraTrees,55908.3  +- 34341.0 ,74.8  +- 14.5 ,78.5  +- 11.2 ,67.8  +- 27.5 ,86.1  +- 12.1 ,62245.5  +- 19739.4 ,74.2  +- 18.1 ,65.6  +- 19.6 ,85.1  +- 15.1 ,65.3  +- 17.2 ,78.2  +- 14.8 ,61.2  +- 19.8 ,68.0  +- 16.1 ,66.2  +- 33.9 ,50.8  +- 16.1 ,59.6  +- 35.7 ,50.8  +- 16.1 ,82.0  +- 16.3 ,61.8  +- 27.2 ,93.7  +- 19.5 ,98.8  +- 5.9 ,45.5  +- 27.7 ,95.4  +- 12.8 ,9159 +- 10108,2946 +- 3368
resc_tl_ExtraTrees,64504.7  +- 34210.4 ,74.1  +- 15.4 ,80.2  +- 10.4 ,72.7  +- 26.2 ,82.4  +- 12.0 ,72382.6  +- 19158.4 ,82.8  +- 15.8 ,74.9  +- 17.9 ,89.5  +- 12.2 ,75.5  +- 15.4 ,81.5  +- 12.6 ,70.5  +- 18.9 ,78.3  +- 13.7 ,71.9  +- 32.7 ,59.0  +- 15.6 ,67.3  +- 35.0 ,59.1  +- 15.6 ,73.9  +- 17.9 ,64.6  +- 27.3 ,90.0  +- 24.3 ,98.4  +- 5.3 ,52.7  +- 27.6 ,91.7  +- 16.5 ,7792 +- 10136,2823 +- 3141
tl_resc_ExtraTrees,75702.2  +- 39651.4 ,60.4  +- 19.0 ,76.0  +- 9.9 ,74.5  +- 27.2 ,72.7  +- 12.3 ,91776.6  +- 16576.6 ,93.1  +- 9.2 ,89.3  +- 12.1 ,94.2  +- 9.4 ,90.5  +- 9.2 ,80.9  +- 10.1 ,85.6  +- 13.7 ,92.0  +- 7.4 ,72.2  +- 37.2 ,74.7  +- 13.0 ,73.2  +- 39.0 ,74.8  +- 13.0 ,49.6  +- 19.7 ,62.6  +- 26.4 ,76.1  +- 35.6 ,88.5  +- 21.0 ,61.7  +- 32.0 ,76.6  +- 24.0 ,8474 +- 11529,2686 +- 2956
ExtraTrees_max,276.3  +- 5264.4 ,57.6  +- 13.4 ,41.8  +- 13.3 ,25.4  +- 14.4 ,0.2  +- 4.4 ,280.4  +- 5343.1 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.3  +- 4.8 ,0.3  +- 4.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.2  +- 4.5 ,99.3  +- 7.8 ,38.5  +- 17.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.4 ,100.0  +- 0.0 ,5645 +- 5007,4044 +- 3346
tl_ExtraTrees_max,343.3  +- 5826.6 ,57.5  +- 13.6 ,41.9  +- 13.3 ,25.5  +- 14.3 ,0.4  +- 5.7 ,398.6  +- 6417.6 ,0.3  +- 5.4 ,0.4  +- 5.5 ,0.6  +- 7.4 ,0.4  +- 5.5 ,0.4  +- 5.3 ,0.4  +- 5.4 ,0.4  +- 5.5 ,0.3  +- 5.3 ,0.3  +- 5.4 ,0.3  +- 5.0 ,0.3  +- 5.4 ,99.1  +- 9.1 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.9 ,100.0  +- 0.0 ,5663 +- 4992,4086 +- 3424
resc_tl_ExtraTrees_max,336.6  +- 5811.8 ,57.6  +- 13.3 ,41.9  +- 13.3 ,25.5  +- 14.3 ,0.4  +- 5.9 ,387.6  +- 6337.3 ,0.3  +- 5.4 ,0.3  +- 5.4 ,0.6  +- 7.4 ,0.3  +- 5.4 ,0.4  +- 5.4 ,0.3  +- 5.4 ,0.3  +- 5.4 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 4.9 ,0.3  +- 5.3 ,99.2  +- 8.7 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.9 ,100.0  +- 0.0 ,5663 +- 4992,4088 +- 3432
SGD_perceptron,84709.4  +- 27472.3 ,71.1  +- 15.4 ,78.4  +- 10.2 ,84.0  +- 19.2 ,79.4  +- 12.4 ,75627.0  +- 17231.7 ,83.9  +- 13.7 ,76.4  +- 15.4 ,78.7  +- 14.1 ,77.1  +- 13.5 ,80.7  +- 11.7 ,72.2  +- 16.5 ,79.9  +- 12.2 ,85.6  +- 23.3 ,61.7  +- 14.0 ,85.5  +- 25.4 ,61.7  +- 14.0 ,69.0  +- 17.7 ,70.4  +- 26.8 ,90.2  +- 19.4 ,97.3  +- 4.2 ,69.0  +- 21.8 ,82.1  +- 24.1 ,3956 +- 7201,2288 +- 3046
tl_SGD_perceptron,73630.0  +- 39446.5 ,66.6  +- 18.1 ,78.2  +- 10.1 ,74.3  +- 28.0 ,75.8  +- 12.4 ,86183.7  +- 17565.5 ,91.1  +- 11.8 ,85.6  +- 14.2 ,90.6  +- 12.8 ,86.9  +- 12.1 ,81.8  +- 11.0 ,81.5  +- 15.8 ,89.2  +- 10.5 ,72.2  +- 36.9 ,70.2  +- 13.9 ,72.4  +- 38.9 ,70.2  +- 13.9 ,58.1  +- 19.6 ,63.7  +- 28.0 ,78.5  +- 34.2 ,92.9  +- 16.3 ,60.0  +- 31.7 ,79.2  +- 24.0 ,8408 +- 11637,2660 +- 3082
resc_SGD_perceptron,47941.3  +- 35154.4 ,71.6  +- 14.3 ,73.4  +- 12.7 ,61.8  +- 28.6 ,85.7  +- 13.8 ,53523.4  +- 20986.2 ,63.8  +- 21.5 ,56.4  +- 21.4 ,81.3  +- 18.5 ,56.2  +- 19.9 ,70.8  +- 18.7 ,52.8  +- 21.3 ,58.5  +- 19.4 ,58.4  +- 35.6 ,43.7  +- 17.2 ,51.4  +- 36.9 ,43.8  +- 17.2 ,84.4  +- 15.0 ,57.8  +- 26.8 ,92.9  +- 22.2 ,98.1  +- 11.7 ,39.0  +- 28.3 ,96.0  +- 12.0 ,10761 +- 10441,3411 +- 4066
resc_tl_SGD_perceptron,61084.8  +- 35744.5 ,72.5  +- 16.2 ,78.8  +- 11.3 ,69.5  +- 28.2 ,81.3  +- 12.7 ,72379.6  +- 20346.1 ,81.7  +- 17.6 ,74.5  +- 19.0 ,90.7  +- 13.6 ,75.3  +- 17.2 ,80.1  +- 14.4 ,70.2  +- 20.0 ,77.8  +- 16.1 ,68.1  +- 34.8 ,59.0  +- 16.5 ,63.7  +- 36.9 ,59.1  +- 16.5 ,72.4  +- 19.0 ,61.9  +- 28.1 ,88.1  +- 26.7 ,98.5  +- 6.4 ,49.9  +- 29.0 ,90.3  +- 18.3 ,8929 +- 10783,2892 +- 3382
tl_resc_SGD_perceptron,75057.6  +- 38932.1 ,60.9  +- 18.9 ,75.7  +- 10.1 ,74.0  +- 27.4 ,72.9  +- 12.4 ,90165.0  +- 17225.0 ,91.7  +- 10.7 ,87.8  +- 13.1 ,93.1  +- 10.3 ,89.0  +- 11.0 ,80.4  +- 10.7 ,84.1  +- 14.6 ,90.5  +- 9.6 ,72.4  +- 36.3 ,73.4  +- 13.3 ,72.9  +- 38.4 ,73.5  +- 13.4 ,51.1  +- 19.7 ,62.3  +- 26.8 ,77.7  +- 34.2 ,90.0  +- 18.9 ,61.2  +- 31.3 ,76.8  +- 24.1 ,8360 +- 11344,2739 +- 2950
SGD_perceptron_max,276.9  +- 5274.9 ,57.6  +- 13.4 ,41.8  +- 13.3 ,25.4  +- 14.4 ,0.2  +- 4.4 ,280.4  +- 5343.1 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.3  +- 4.8 ,0.3  +- 4.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.2  +- 4.5 ,99.3  +- 7.8 ,38.5  +- 17.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.4 ,100.0  +- 0.0 ,5645 +- 5007,4044 +- 3346
