,TotalSleepBlock,~F1,Accuracy,AccuracyBlock,Precision,TotalSleep,Recall,SEGTBlock,SESelfBlock,SEInterval,F1,SEMarkers,SEOnlyREST,F1Block,PercentSleep,RecallBlock,SEWholeDF,Specificity,~F1Block,PrecisionBlock,SESelfBlock5Min,PercentSleepBlock,SpecificityBlock,DeltaEndBlock,DeltaStartBlock
tl_SGD_perceptron_max,338.3  +- 5705.9 ,57.6  +- 13.3 ,41.9  +- 13.2 ,25.5  +- 14.3 ,0.4  +- 5.7 ,365.3  +- 5798.4 ,0.3  +- 4.9 ,0.3  +- 5.0 ,0.6  +- 7.4 ,0.3  +- 5.0 ,0.3  +- 5.2 ,0.3  +- 5.0 ,0.3  +- 5.0 ,0.3  +- 5.2 ,0.3  +- 4.9 ,0.3  +- 4.9 ,0.3  +- 4.9 ,99.2  +- 8.3 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.8 ,100.0  +- 0.0 ,5665 +- 4991,4085 +- 3422
resc_tl_SGD_perceptron_max,330.0  +- 5658.8 ,57.6  +- 13.3 ,41.9  +- 13.2 ,25.5  +- 14.3 ,0.4  +- 5.9 ,357.0  +- 5740.8 ,0.3  +- 4.9 ,0.3  +- 5.0 ,0.6  +- 7.4 ,0.3  +- 4.9 ,0.3  +- 5.2 ,0.3  +- 4.9 ,0.3  +- 4.9 ,0.3  +- 5.2 ,0.3  +- 4.8 ,0.3  +- 4.8 ,0.3  +- 4.8 ,99.2  +- 8.3 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.7 ,100.0  +- 0.0 ,5666 +- 4990,4087 +- 3430
SGD_log,81908.5  +- 30268.0 ,73.4  +- 16.6 ,81.5  +- 10.2 ,82.0  +- 21.7 ,79.9  +- 12.4 ,81367.8  +- 17196.4 ,90.7  +- 11.9 ,82.4  +- 14.6 ,86.2  +- 11.7 ,83.2  +- 12.0 ,84.1  +- 10.6 ,77.7  +- 15.9 ,86.3  +- 10.4 ,82.9  +- 27.0 ,66.3  +- 13.9 ,82.7  +- 29.2 ,66.4  +- 14.0 ,67.2  +- 19.1 ,69.4  +- 27.8 ,88.8  +- 22.3 ,97.7  +- 3.3 ,66.9  +- 24.3 ,81.9  +- 24.4 ,4988 +- 8467,2197 +- 2870
tl_SGD_log,72721.5  +- 40964.6 ,66.4  +- 17.8 ,78.4  +- 10.0 ,72.9  +- 28.6 ,75.6  +- 12.3 ,87456.2  +- 17330.5 ,92.2  +- 10.8 ,86.8  +- 13.6 ,92.4  +- 11.1 ,88.0  +- 11.0 ,82.3  +- 10.3 ,82.6  +- 15.1 ,90.3  +- 9.2 ,70.3  +- 38.1 ,71.2  +- 13.8 ,71.0  +- 40.2 ,71.3  +- 13.8 ,57.1  +- 19.5 ,62.4  +- 27.9 ,76.4  +- 35.6 ,91.9  +- 17.6 ,59.3  +- 33.0 ,78.0  +- 25.0 ,9070 +- 12113,2712 +- 3199
resc_SGD_log,56761.7  +- 34343.2 ,74.8  +- 14.6 ,78.9  +- 11.3 ,68.3  +- 27.7 ,85.6  +- 12.0 ,64000.0  +- 20053.7 ,75.9  +- 18.1 ,67.3  +- 19.7 ,86.7  +- 13.5 ,67.0  +- 17.4 ,78.8  +- 14.6 ,62.8  +- 19.9 ,69.7  +- 16.4 ,66.8  +- 33.9 ,52.2  +- 16.5 ,60.6  +- 35.9 ,52.3  +- 16.5 ,80.7  +- 17.1 ,62.0  +- 27.5 ,92.9  +- 21.0 ,99.3  +- 1.7 ,46.4  +- 27.9 ,94.7  +- 13.8 ,9150 +- 10346,2963 +- 3636
resc_tl_SGD_log,65434.2  +- 34876.3 ,73.5  +- 15.8 ,80.0  +- 10.5 ,73.0  +- 26.8 ,81.9  +- 12.1 ,73646.0  +- 19757.0 ,83.8  +- 15.8 ,76.0  +- 18.2 ,90.9  +- 11.2 ,76.5  +- 15.7 ,81.5  +- 12.4 ,71.6  +- 19.0 ,79.2  +- 14.2 ,72.1  +- 33.5 ,60.1  +- 16.1 ,68.2  +- 35.6 ,60.1  +- 16.1 ,72.6  +- 18.8 ,64.8  +- 27.8 ,89.8  +- 24.3 ,99.0  +- 1.9 ,53.5  +- 28.2 ,90.6  +- 17.9 ,7697 +- 10368,2795 +- 3187
tl_resc_SGD_log,74299.7  +- 40231.7 ,60.1  +- 18.8 ,75.6  +- 10.0 ,73.1  +- 27.9 ,72.6  +- 12.4 ,91485.4  +- 17050.1 ,92.7  +- 10.0 ,88.9  +- 12.6 ,94.5  +- 9.1 ,90.0  +- 10.1 ,80.6  +- 10.1 ,85.3  +- 14.0 ,91.6  +- 8.5 ,71.0  +- 37.3 ,74.5  +- 13.4 ,71.9  +- 39.4 ,74.6  +- 13.4 ,49.7  +- 19.7 ,61.4  +- 26.8 ,76.1  +- 35.2 ,88.3  +- 20.4 ,60.7  +- 32.5 ,76.1  +- 24.8 ,8897 +- 11818,2753 +- 3048
SGD_log_max,275.5  +- 5248.6 ,57.6  +- 13.4 ,41.8  +- 13.3 ,25.4  +- 14.4 ,0.2  +- 4.4 ,279.6  +- 5327.4 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.3  +- 4.8 ,0.3  +- 4.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.4 ,0.3  +- 5.1 ,0.2  +- 4.4 ,99.3  +- 7.8 ,38.5  +- 17.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.4 ,100.0  +- 0.0 ,5645 +- 5007,4045 +- 3346
tl_SGD_log_max,389.5  +- 5611.7 ,57.5  +- 13.5 ,41.8  +- 13.2 ,25.5  +- 14.3 ,0.4  +- 5.6 ,416.5  +- 5839.6 ,0.4  +- 5.6 ,0.4  +- 5.3 ,0.6  +- 7.4 ,0.4  +- 5.4 ,0.4  +- 5.5 ,0.4  +- 5.4 ,0.4  +- 5.4 ,0.4  +- 5.8 ,0.4  +- 5.4 ,0.4  +- 5.3 ,0.4  +- 5.4 ,99.1  +- 8.9 ,38.3  +- 17.6 ,0.5  +- 7.2 ,0.5  +- 7.4 ,0.4  +- 5.2 ,99.7  +- 5.1 ,5654 +- 5000,4092 +- 3388
resc_tl_SGD_log_max,378.5  +- 5484.5 ,57.5  +- 13.5 ,41.8  +- 13.2 ,25.5  +- 14.3 ,0.4  +- 5.6 ,405.5  +- 5706.1 ,0.4  +- 5.4 ,0.4  +- 5.2 ,0.6  +- 7.4 ,0.4  +- 5.3 ,0.4  +- 5.4 ,0.4  +- 5.3 ,0.4  +- 5.3 ,0.4  +- 5.7 ,0.4  +- 5.3 ,0.4  +- 5.2 ,0.4  +- 5.3 ,99.1  +- 8.9 ,38.3  +- 17.6 ,0.5  +- 7.2 ,0.6  +- 7.4 ,0.4  +- 5.1 ,99.7  +- 5.1 ,5655 +- 4999,4094 +- 3395
SGD_hinge,79966.9  +- 32186.7 ,73.5  +- 16.5 ,81.4  +- 10.3 ,81.0  +- 23.0 ,80.2  +- 12.4 ,80365.0  +- 17613.3 ,89.9  +- 12.8 ,81.5  +- 15.3 ,86.4  +- 11.5 ,82.4  +- 12.6 ,83.8  +- 11.1 ,76.8  +- 16.4 ,85.4  +- 11.2 ,81.4  +- 29.0 ,65.5  +- 14.3 ,81.0  +- 31.2 ,65.6  +- 14.3 ,68.0  +- 19.0 ,68.9  +- 28.2 ,88.8  +- 22.7 ,97.8  +- 3.1 ,65.3  +- 25.9 ,82.4  +- 24.2 ,5374 +- 8949,2147 +- 2817
tl_SGD_hinge,71601.9  +- 41272.1 ,66.5  +- 17.6 ,78.2  +- 10.0 ,72.7  +- 28.5 ,75.8  +- 12.3 ,86486.0  +- 17614.5 ,91.4  +- 11.7 ,86.0  +- 14.2 ,91.5  +- 12.2 ,87.1  +- 11.7 ,81.9  +- 10.7 ,81.8  +- 15.6 ,89.4  +- 10.1 ,69.6  +- 38.4 ,70.5  +- 14.1 ,70.0  +- 40.6 ,70.5  +- 14.1 ,57.7  +- 19.4 ,62.5  +- 27.7 ,76.0  +- 36.2 ,91.7  +- 18.1 ,58.5  +- 33.3 ,79.1  +- 24.3 ,9320 +- 12182,2678 +- 3190
resc_SGD_hinge,55853.7  +- 34488.9 ,74.6  +- 14.6 ,78.3  +- 11.6 ,67.6  +- 27.7 ,85.8  +- 12.0 ,62547.4  +- 20476.1 ,74.4  +- 19.0 ,65.8  +- 20.3 ,85.5  +- 15.2 ,65.6  +- 18.0 ,77.9  +- 15.6 ,61.4  +- 20.4 ,68.2  +- 17.1 ,65.8  +- 34.2 ,51.1  +- 16.8 ,59.5  +- 36.0 ,51.1  +- 16.8 ,81.4  +- 16.8 ,61.5  +- 27.1 ,92.4  +- 21.9 ,98.7  +- 7.6 ,45.7  +- 28.0 ,94.8  +- 13.5 ,9353 +- 10269,2952 +- 3414
resc_tl_SGD_hinge,63433.1  +- 34928.2 ,73.5  +- 15.8 ,79.5  +- 11.1 ,72.1  +- 27.0 ,82.2  +- 12.3 ,71695.6  +- 20047.4 ,81.9  +- 17.1 ,74.2  +- 19.0 ,89.6  +- 12.0 ,74.6  +- 16.4 ,80.7  +- 13.8 ,69.8  +- 19.5 ,77.3  +- 15.2 ,70.9  +- 33.7 ,58.5  +- 16.4 ,66.5  +- 35.9 ,58.5  +- 16.4 ,73.8  +- 18.6 ,64.3  +- 27.6 ,90.1  +- 24.2 ,98.9  +- 2.0 ,52.0  +- 28.5 ,91.5  +- 17.2 ,7982 +- 10518,2877 +- 3345
tl_resc_SGD_hinge,74309.4  +- 40138.3 ,60.3  +- 18.7 ,75.6  +- 10.0 ,73.6  +- 27.5 ,72.7  +- 12.3 ,90922.3  +- 17426.9 ,92.2  +- 10.8 ,88.5  +- 13.2 ,94.1  +- 9.5 ,89.7  +- 10.8 ,80.4  +- 10.5 ,84.8  +- 14.6 ,91.2  +- 9.3 ,71.2  +- 37.4 ,74.1  +- 13.8 ,72.0  +- 39.4 ,74.1  +- 13.8 ,50.1  +- 19.8 ,62.0  +- 26.4 ,75.8  +- 35.8 ,88.0  +- 21.4 ,60.7  +- 32.4 ,76.9  +- 24.1 ,8844 +- 11786,2722 +- 3040
SGD_hinge_max,275.5  +- 5248.6 ,57.6  +- 13.4 ,41.8  +- 13.3 ,25.4  +- 14.4 ,0.2  +- 4.4 ,279.6  +- 5327.4 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.3  +- 4.8 ,0.3  +- 4.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.4 ,0.3  +- 5.1 ,0.2  +- 4.4 ,99.3  +- 7.8 ,38.5  +- 17.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.4 ,100.0  +- 0.0 ,5645 +- 5007,4045 +- 3346
tl_SGD_hinge_max,343.3  +- 5826.6 ,57.5  +- 13.6 ,41.9  +- 13.3 ,25.5  +- 14.3 ,0.4  +- 5.7 ,398.1  +- 6417.6 ,0.3  +- 5.4 ,0.4  +- 5.5 ,0.6  +- 7.4 ,0.4  +- 5.5 ,0.4  +- 5.3 ,0.4  +- 5.4 ,0.4  +- 5.5 ,0.3  +- 5.3 ,0.3  +- 5.4 ,0.3  +- 5.0 ,0.3  +- 5.4 ,99.1  +- 9.1 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.9 ,100.0  +- 0.0 ,5663 +- 4992,4086 +- 3424
resc_tl_SGD_hinge_max,336.6  +- 5811.8 ,57.6  +- 13.3 ,41.9  +- 13.3 ,25.5  +- 14.3 ,0.4  +- 5.9 ,387.1  +- 6327.0 ,0.3  +- 5.4 ,0.3  +- 5.4 ,0.6  +- 7.4 ,0.3  +- 5.4 ,0.4  +- 5.4 ,0.3  +- 5.4 ,0.3  +- 5.4 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 4.9 ,0.3  +- 5.3 ,99.2  +- 8.6 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.9 ,100.0  +- 0.0 ,5663 +- 4992,4088 +- 3432
SGD_huber,85252.3  +- 29618.8 ,71.8  +- 16.9 ,80.7  +- 10.3 ,82.8  +- 21.1 ,78.7  +- 12.4 ,83090.4  +- 17272.3 ,91.3  +- 12.1 ,83.4  +- 14.5 ,85.9  +- 11.7 ,84.4  +- 12.1 ,83.6  +- 10.9 ,78.9  +- 15.9 ,87.4  +- 10.5 ,84.2  +- 25.7 ,67.7  +- 13.9 ,85.0  +- 27.8 ,67.8  +- 14.0 ,64.5  +- 19.2 ,69.1  +- 27.4 ,88.6  +- 20.8 ,97.1  +- 3.6 ,69.4  +- 23.4 ,78.9  +- 25.2 ,4603 +- 7847,2148 +- 2938
tl_SGD_huber,77378.2  +- 39354.3 ,64.3  +- 18.8 ,77.8  +- 10.3 ,75.2  +- 26.9 ,74.6  +- 12.5 ,89854.0  +- 17441.3 ,93.4  +- 10.7 ,88.6  +- 13.2 ,91.8  +- 11.6 ,89.8  +- 10.9 ,82.0  +- 10.5 ,84.5  +- 14.9 ,91.9  +- 9.3 ,73.5  +- 36.1 ,73.2  +- 13.9 ,74.9  +- 38.3 ,73.3  +- 13.9 ,54.0  +- 20.1 ,62.6  +- 27.5 ,77.2  +- 34.0 ,91.4  +- 17.2 ,63.2  +- 31.7 ,75.1  +- 26.2 ,8121 +- 11440,2716 +- 3228
resc_SGD_huber,58884.8  +- 34322.7 ,74.8  +- 14.8 ,79.0  +- 11.5 ,69.8  +- 27.3 ,85.0  +- 12.0 ,65124.5  +- 20268.3 ,76.9  +- 18.4 ,68.3  +- 19.9 ,85.9  +- 14.1 ,68.2  +- 17.6 ,79.1  +- 15.0 ,63.8  +- 20.3 ,70.9  +- 16.5 ,68.4  +- 33.7 ,53.2  +- 16.7 ,62.6  +- 35.8 ,53.2  +- 16.7 ,79.7  +- 17.2 ,63.1  +- 27.5 ,92.4  +- 21.4 ,98.9  +- 5.5 ,48.2  +- 27.9 ,93.9  +- 14.7 ,8767 +- 10296,2792 +- 3415
resc_tl_SGD_huber,68776.6  +- 35057.5 ,72.6  +- 16.5 ,80.0  +- 10.6 ,74.9  +- 26.0 ,80.7  +- 12.3 ,76675.2  +- 19832.0 ,85.9  +- 15.6 ,78.8  +- 18.1 ,91.4  +- 11.6 ,79.5  +- 15.7 ,81.9  +- 12.6 ,74.3  +- 19.0 ,82.2  +- 14.1 ,74.1  +- 32.7 ,62.5  +- 16.2 ,71.0  +- 35.1 ,62.6  +- 16.2 ,69.6  +- 19.5 ,65.8  +- 27.7 ,89.8  +- 23.5 ,98.7  +- 2.7 ,56.2  +- 28.3 ,88.8  +- 19.9 ,7114 +- 10029,2676 +- 3184
tl_resc_SGD_huber,78472.7  +- 38816.6 ,58.0  +- 19.8 ,75.2  +- 10.2 ,74.9  +- 26.4 ,71.8  +- 12.5 ,93766.1  +- 17213.7 ,93.9  +- 9.8 ,90.5  +- 12.1 ,94.4  +- 9.0 ,91.6  +- 10.0 ,80.5  +- 10.3 ,86.9  +- 13.7 ,93.0  +- 8.5 ,73.6  +- 35.7 ,76.3  +- 13.4 ,75.3  +- 37.8 ,76.4  +- 13.4 ,46.9  +- 20.3 ,61.2  +- 26.5 ,76.4  +- 34.0 ,88.2  +- 20.2 ,64.2  +- 31.2 ,73.2  +- 25.8 ,8124 +- 11336,2760 +- 3081
SGD_huber_max,276.9  +- 5274.9 ,57.6  +- 13.4 ,41.8  +- 13.3 ,25.4  +- 14.4 ,0.2  +- 4.4 ,281.3  +- 5358.9 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.3  +- 4.8 ,0.3  +- 4.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.2  +- 4.5 ,99.3  +- 7.8 ,38.5  +- 17.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.4 ,100.0  +- 0.0 ,5645 +- 5007,4044 +- 3346
tl_SGD_huber_max,390.9  +- 5622.4 ,57.5  +- 13.5 ,41.8  +- 13.2 ,25.5  +- 14.3 ,0.4  +- 5.6 ,417.9  +- 5852.2 ,0.4  +- 5.6 ,0.4  +- 5.4 ,0.6  +- 7.4 ,0.4  +- 5.5 ,0.4  +- 5.5 ,0.4  +- 5.4 ,0.4  +- 5.4 ,0.4  +- 5.8 ,0.4  +- 5.4 ,0.4  +- 5.3 ,0.4  +- 5.4 ,99.1  +- 8.9 ,38.3  +- 17.6 ,0.5  +- 7.2 ,0.5  +- 7.4 ,0.4  +- 5.2 ,99.7  +- 5.1 ,5654 +- 5000,4091 +- 3387
resc_tl_SGD_huber_max,379.9  +- 5494.9 ,57.5  +- 13.5 ,41.8  +- 13.2 ,25.5  +- 14.3 ,0.4  +- 5.6 ,406.9  +- 5718.5 ,0.4  +- 5.4 ,0.4  +- 5.2 ,0.6  +- 7.4 ,0.4  +- 5.3 ,0.4  +- 5.4 ,0.4  +- 5.3 ,0.4  +- 5.3 ,0.4  +- 5.7 ,0.4  +- 5.3 ,0.4  +- 5.2 ,0.4  +- 5.3 ,99.1  +- 8.9 ,38.3  +- 17.6 ,0.5  +- 7.2 ,0.6  +- 7.4 ,0.4  +- 5.1 ,99.7  +- 5.1 ,5655 +- 4999,4093 +- 3393
LSTM_20_raw,87428.9  +- 26099.3 ,72.5  +- 16.4 ,81.3  +- 9.7 ,85.1  +- 18.3 ,79.0  +- 12.4 ,83467.5  +- 16052.5 ,92.0  +- 9.6 ,84.1  +- 12.9 ,86.1  +- 11.4 ,84.9  +- 10.3 ,84.3  +- 9.9 ,79.5  +- 14.4 ,87.8  +- 8.4 ,86.9  +- 22.2 ,68.0  +- 12.8 ,87.6  +- 24.0 ,68.0  +- 12.8 ,65.0  +- 18.6 ,71.0  +- 26.2 ,89.3  +- 19.9 ,97.1  +- 3.7 ,71.1  +- 20.5 ,80.2  +- 23.4 ,3732 +- 6848,2085 +- 2685
tl_LSTM_20_raw,79442.7  +- 37095.3 ,65.3  +- 18.5 ,78.5  +- 9.9 ,77.6  +- 25.2 ,74.9  +- 12.5 ,90295.3  +- 16221.1 ,94.3  +- 8.2 ,89.3  +- 11.6 ,92.7  +- 10.2 ,90.5  +- 9.1 ,82.8  +- 9.7 ,85.1  +- 13.6 ,92.6  +- 7.0 ,76.4  +- 34.1 ,73.5  +- 12.7 ,77.5  +- 36.0 ,73.6  +- 12.8 ,54.5  +- 19.8 ,64.7  +- 27.0 ,80.0  +- 32.2 ,92.2  +- 16.2 ,64.7  +- 29.8 ,77.1  +- 25.0 ,7136 +- 10752,2601 +- 3061
resc_LSTM_20_raw,62496.7  +- 32551.7 ,75.2  +- 14.4 ,79.5  +- 10.5 ,72.3  +- 25.5 ,85.2  +- 12.1 ,65693.7  +- 19177.9 ,77.5  +- 16.6 ,68.9  +- 18.7 ,85.0  +- 13.2 ,68.7  +- 16.2 ,79.9  +- 13.4 ,64.4  +- 19.0 ,71.5  +- 14.8 ,72.0  +- 31.0 ,53.6  +- 15.6 ,66.3  +- 33.7 ,53.6  +- 15.6 ,79.9  +- 16.6 ,64.3  +- 26.8 ,93.5  +- 18.8 ,98.9  +- 2.5 ,51.2  +- 26.6 ,93.7  +- 14.5 ,7701 +- 9414,2840 +- 3481
resc_tl_LSTM_20_raw,71094.2  +- 33213.6 ,73.3  +- 16.2 ,80.7  +- 9.8 ,77.0  +- 24.5 ,81.0  +- 12.1 ,77047.1  +- 18645.1 ,86.7  +- 13.5 ,79.3  +- 16.5 ,91.0  +- 10.8 ,79.9  +- 14.2 ,82.8  +- 11.2 ,74.7  +- 17.7 ,82.5  +- 12.4 ,77.0  +- 30.4 ,62.8  +- 15.1 ,73.9  +- 33.0 ,62.8  +- 15.1 ,70.0  +- 19.0 ,67.2  +- 26.7 ,91.4  +- 20.8 ,98.6  +- 2.6 ,58.1  +- 26.8 ,89.2  +- 18.9 ,6391 +- 9486,2560 +- 2765
tl_resc_LSTM_20_raw,78909.6  +- 37733.6 ,59.0  +- 19.8 ,75.9  +- 10.1 ,76.3  +- 25.9 ,72.1  +- 12.6 ,94243.5  +- 16088.1 ,94.8  +- 7.6 ,91.3  +- 10.7 ,95.0  +- 8.6 ,92.4  +- 8.1 ,81.2  +- 9.9 ,87.7  +- 12.5 ,93.8  +- 6.2 ,75.0  +- 35.2 ,76.7  +- 12.4 ,76.3  +- 37.0 ,76.8  +- 12.4 ,47.4  +- 20.1 ,63.1  +- 26.1 ,77.6  +- 33.9 ,88.6  +- 20.3 ,64.4  +- 30.3 ,75.4  +- 24.5 ,7637 +- 11052,2670 +- 2930
LSTM_20_raw_max,277.1  +- 5280.1 ,57.6  +- 13.4 ,41.8  +- 13.3 ,25.4  +- 14.4 ,0.2  +- 4.4 ,280.4  +- 5343.1 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.3  +- 4.8 ,0.3  +- 4.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.2  +- 4.5 ,99.3  +- 7.8 ,38.5  +- 17.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.4 ,100.0  +- 0.1 ,5645 +- 5007,4044 +- 3346
tl_LSTM_20_raw_max,390.1  +- 5613.4 ,57.5  +- 13.5 ,41.8  +- 13.2 ,25.5  +- 14.3 ,0.4  +- 5.6 ,417.1  +- 5842.6 ,0.4  +- 5.6 ,0.4  +- 5.3 ,0.6  +- 7.4 ,0.4  +- 5.4 ,0.4  +- 5.5 ,0.4  +- 5.4 ,0.4  +- 5.4 ,0.4  +- 5.8 ,0.4  +- 5.4 ,0.4  +- 5.3 ,0.4  +- 5.4 ,99.1  +- 8.9 ,38.3  +- 17.6 ,0.5  +- 7.2 ,0.5  +- 7.4 ,0.4  +- 5.2 ,99.7  +- 5.1 ,5654 +- 5000,4091 +- 3387
resc_tl_LSTM_20_raw_max,379.1  +- 5485.9 ,57.5  +- 13.5 ,41.8  +- 13.2 ,25.5  +- 14.3 ,0.4  +- 5.6 ,406.1  +- 5708.9 ,0.4  +- 5.4 ,0.4  +- 5.2 ,0.6  +- 7.4 ,0.4  +- 5.3 ,0.4  +- 5.4 ,0.4  +- 5.3 ,0.4  +- 5.3 ,0.4  +- 5.7 ,0.4  +- 5.3 ,0.4  +- 5.2 ,0.4  +- 5.3 ,99.1  +- 8.9 ,38.3  +- 17.6 ,0.5  +- 7.2 ,0.6  +- 7.4 ,0.4  +- 5.1 ,99.7  +- 5.1 ,5655 +- 4999,4093 +- 3394
LSTM_50_raw,78520.7  +- 30807.6 ,75.3  +- 16.0 ,82.7  +- 9.7 ,81.4  +- 22.4 ,81.5  +- 12.2 ,79682.6  +- 16824.8 ,90.5  +- 10.6 ,81.9  +- 14.3 ,87.4  +- 11.9 ,82.3  +- 11.6 ,85.0  +- 9.9 ,76.8  +- 15.7 ,85.3  +- 9.8 ,82.0  +- 28.0 ,64.9  +- 13.6 ,80.5  +- 30.1 ,65.0  +- 13.6 ,70.1  +- 18.8 ,70.3  +- 26.9 ,90.7  +- 21.1 ,98.0  +- 3.6 ,64.1  +- 24.7 ,86.7  +- 21.1 ,5264 +- 8627,2039 +- 2612
tl_LSTM_50_raw,71168.3  +- 37806.7 ,70.7  +- 16.8 ,80.6  +- 9.4 ,74.4  +- 27.4 ,78.2  +- 12.0 ,84473.6  +- 16893.9 ,92.0  +- 9.9 ,85.4  +- 13.7 ,93.6  +- 9.2 ,86.6  +- 10.9 ,83.8  +- 9.8 ,80.9  +- 15.3 ,89.0  +- 8.8 ,72.7  +- 35.9 ,68.8  +- 13.5 ,71.7  +- 37.7 ,68.9  +- 13.5 ,62.7  +- 19.1 ,65.0  +- 27.4 ,81.7  +- 32.5 ,94.1  +- 16.2 ,58.1  +- 30.6 ,84.5  +- 21.3 ,8307 +- 11449,2551 +- 2942
resc_LSTM_50_raw,60035.5  +- 32715.8 ,75.4  +- 14.2 ,79.9  +- 10.2 ,71.2  +- 26.2 ,85.6  +- 12.0 ,65932.0  +- 19005.2 ,78.0  +- 15.8 ,69.5  +- 18.3 ,88.3  +- 12.1 ,69.1  +- 15.8 ,80.4  +- 12.6 ,64.8  +- 18.8 ,71.8  +- 14.4 ,70.5  +- 32.0 ,53.8  +- 15.5 ,64.1  +- 34.1 ,53.8  +- 15.5 ,80.1  +- 16.9 ,64.0  +- 26.8 ,94.4  +- 18.6 ,99.3  +- 2.0 ,49.0  +- 26.5 ,95.3  +- 11.9 ,8084 +- 9537,2849 +- 3386
resc_tl_LSTM_50_raw,64273.8  +- 33140.2 ,74.7  +- 15.3 ,80.8  +- 9.9 ,73.4  +- 25.0 ,83.0  +- 11.9 ,72747.7  +- 18796.6 ,83.8  +- 14.3 ,75.9  +- 17.3 ,91.1  +- 11.7 ,76.0  +- 14.9 ,82.3  +- 11.5 ,71.1  +- 18.2 ,78.5  +- 13.4 ,72.8  +- 31.5 ,59.3  +- 15.3 ,67.6  +- 33.7 ,59.4  +- 15.3 ,74.4  +- 18.2 ,64.8  +- 26.3 ,92.2  +- 22.0 ,99.0  +- 2.3 ,52.5  +- 26.8 ,93.3  +- 15.2 ,7349 +- 9596,2883 +- 2809
tl_resc_LSTM_50_raw,73276.9  +- 37291.6 ,65.0  +- 17.5 ,77.7  +- 9.4 ,74.8  +- 26.6 ,74.9  +- 12.1 ,87589.5  +- 16713.2 ,91.6  +- 9.7 ,86.8  +- 12.9 ,94.7  +- 8.0 ,88.0  +- 10.0 ,81.7  +- 10.0 ,82.9  +- 14.5 ,89.7  +- 8.2 ,73.4  +- 35.3 ,71.3  +- 13.2 ,72.7  +- 37.0 ,71.4  +- 13.2 ,55.8  +- 19.0 ,64.2  +- 26.1 ,80.7  +- 32.8 ,91.2  +- 17.6 ,59.7  +- 29.9 ,82.3  +- 21.2 ,8009 +- 11037,2658 +- 2821
